"X","Y","DateTime"
"465.1","738.0","237601526621"
"478.7","774.4","237601534933"
"483.9","750.3","237601543426"
"490.0","754.3","237601551746"
"490.0","754.3","237601559972"
"486.6","748.3","237601576781"
"486.6","748.3","237601584977"
"499.7","774.9","237601593289"
"491.0","755.4","237601601648"
"448.2","620.7","237601609995"
"448.2","620.7","237601618306"
"393.3","518.8","237601626564"
"405.5","514.1","237601634970"
"369.9","483.1","237601643433"
"375.0","488.6","237601651707"
"369.3","490.9","237601659992"
"370.0","491.3","237601668402"
"365.6","492.3","237601676693"
"370.4","492.2","237601684969"
"373.4","490.0","237601693314"
"375.3","472.5","237601701635"
"373.6","473.8","237601710003"
"370.0","471.9","237601718293"
"371.8","493.0","237601726594"
"366.9","485.0","237601734951"
"363.3","481.9","237601743300"
"358.3","475.1","237601751684"
"356.9","477.1","237601759925"
"355.0","474.8","237601768331"
"356.2","472.9","237601776676"
"355.1","471.7","237601785048"
"351.3","472.6","237601793289"
"352.7","469.4","237601801676"
"359.1","475.2","237601810023"
"360.5","476.2","237601818319"
"357.3","469.9","237601826675"
"365.3","471.8","237601834971"
"421.8","514.2","237601843277"
"431.8","520.4","237601851653"
"451.5","547.9","237601859981"
"447.3","550.6","237601868242"
"447.9","550.5","237601876629"
"447.6","550.5","237601884980"
"457.9","564.8","237601901676"
"455.0","566.8","237601910036"
"458.6","572.9","237601926524"
"462.6","571.8","237601935039"
"467.1","569.0","237601951666"
"468.8","571.4","237601959891"
"471.2","574.0","237601976630"
"473.6","532.0","237601985030"
"441.0","650.0","237601993263"
"444.2","669.1","237602001620"
"445.9","738.7","237602010045"
"451.8","781.2","237602018333"
"445.2","770.2","237602026656"
"445.9","770.2","237602035020"
"451.1","775.6","237602043333"
"456.9","784.7","237602051683"
"456.9","784.7","237602060172"
"453.3","783.8","237602076703"
"453.3","783.8","237602084940"
"474.7","791.6","237602101610"
"474.7","791.6","237602109963"
"458.6","782.2","237602118268"
"462.5","780.5","237602126632"
"462.6","780.5","237602134922"
"473.6","793.9","237602143411"
"479.4","809.6","237602151650"
"473.6","794.8","237602159966"
"474.0","741.7","237602168246"
"468.2","675.2","237602176637"
"464.6","593.8","237602184979"
"467.6","535.6","237602193202"
"482.0","484.2","237602201619"
"482.0","435.5","237602218247"
"477.9","443.0","237602226646"
"473.7","444.5","237602243188"
"477.8","442.9","237602251599"
"473.6","441.9","237602259933"
"478.1","440.0","237602268286"
"477.5","443.4","237602276597"
"487.3","448.8","237602284999"
"479.4","447.1","237602293300"
"483.1","450.6","237602301574"
"483.7","452.2","237602309996"
"490.1","459.5","237602318283"
"486.3","462.2","237602326590"
"486.9","464.6","237602334923"
"490.4","467.5","237602343252"
"492.9","467.0","237602351527"
"495.5","461.9","237602359833"
"493.4","494.6","237602368297"
"499.2","478.7","237602376505"
"492.5","478.4","237602384906"
"484.1","488.5","237602393308"
"484.9","490.5","237602401567"
"505.2","494.4","237602409894"
"539.5","512.3","237602418230"
"539.9","526.8","237602426601"
"544.4","527.0","237602434995"
"538.0","526.9","237602443242"
"539.1","522.7","237602451551"
"531.6","519.1","237602460037"
"528.2","511.4","237602468149"
"523.7","500.7","237602476459"
"506.4","478.2","237602484842"
"490.9","472.8","237602493190"
"490.1","463.2","237602501601"
"481.4","469.7","237602509830"
"492.1","474.3","237602518208"
"489.7","482.2","237602526660"
"501.4","480.9","237602534836"
"487.2","475.3","237602543340"
"486.6","472.4","237602551560"
"487.1","471.4","237602559967"
"488.2","473.9","237602576527"
"484.4","473.5","237602584886"
"488.0","476.6","237602593228"
"484.7","475.5","237602601577"
"484.6","471.6","237602609942"
"480.1","466.6","237602618302"
"485.8","456.2","237602626598"
"487.6","475.3","237602634882"
"468.0","468.9","237602643136"
"464.4","467.6","237602651604"
"471.8","465.6","237602659868"
"471.3","468.7","237602668192"
"470.9","477.0","237602676533"
"452.7","468.2","237602685004"
"443.5","464.4","237602693147"
"443.4","464.2","237602701677"
"458.0","457.3","237602709918"
"459.3","457.4","237602718257"
"458.6","455.0","237602726418"
"469.7","476.5","237602734974"
"462.9","476.7","237602743247"
"460.7","477.2","237602751592"
"452.0","457.1","237602759908"
"462.8","459.5","237602768250"
"460.9","459.7","237602776584"
"465.2","464.2","237602784920"
"464.8","465.6","237602793154"
"466.4","474.4","237602801545"
"461.5","474.7","237602809844"
"461.5","475.6","237602818254"
"453.5","487.1","237602826491"
"474.8","464.7","237602834764"
"458.2","497.2","237602843151"
"466.1","494.8","237602851489"
"460.8","496.9","237602859959"
"461.5","496.5","237602868197"
"461.2","493.6","237602876595"
"470.2","496.0","237602884834"
"480.7","498.6","237602893185"
"480.9","493.9","237602901567"
"466.8","479.1","237602909856"
"435.6","446.5","237602918244"
"383.0","394.6","237602926562"
"336.6","331.3","237602934763"
"272.5","274.2","237602951571"
"261.5","246.3","237602968186"
"261.1","244.9","237602976493"
"214.2","197.9","237602993184"
"218.1","205.6","237603018206"
"272.6","206.8","237603076485"
"251.2","258.3","237603093178"
"250.3","257.3","237603101494"
"236.0","208.2","237603118160"
"263.5","262.6","237603126494"
"265.4","226.0","237603143074"
"258.6","256.5","237603151578"
"312.8","291.6","237603168101"
"316.6","310.9","237603176462"
"325.6","315.5","237603193196"
"323.5","307.3","237603201521"
"295.6","284.8","237603218183"
"281.4","271.4","237603226462"
"273.0","261.5","237603243118"
"278.6","256.4","237603251494"
"278.6","256.4","237603259822"
"308.6","267.8","237603268242"
"348.1","258.2","237603276473"
"383.4","284.7","237603301495"
"417.4","244.9","237603318108"
"424.0","242.7","237603326457"
