"X","Y","DateTime"
"479.7","373.5","237265652827"
"477.9","377.0","237265661494"
"439.1","349.0","237265669676"
"435.0","320.4","237265678083"
"408.6","287.0","237265686331"
"417.8","292.9","237265694758"
"407.9","287.5","237265702983"
"411.3","288.5","237265711391"
"397.4","278.2","237265719487"
"417.8","298.7","237265727901"
"407.2","263.9","237265736335"
"390.4","279.4","237265744767"
"390.4","279.4","237265752840"
"280.3","236.8","237265761192"
"179.7","255.9","237265769624"
"179.7","255.9","237265777889"
"108.8","246.7","237265786196"
"106.9","256.1","237265794465"
"106.9","256.1","237265803011"
"87.7","251.1","237265811363"
"93.0","255.5","237265827953"
"92.8","255.7","237265836286"
"89.2","263.5","237265861177"
"107.3","277.6","237265869535"
"109.3","278.0","237265877885"
"110.8","275.9","237265886480"
"110.8","269.6","237265894745"
"113.3","273.0","237265902898"
"119.3","279.3","237265911326"
"126.4","295.2","237265919512"
"120.0","287.2","237265927925"
"118.3","285.8","237265936289"
"132.4","291.3","237265944759"
"126.0","289.2","237265952912"
"130.0","293.7","237265961409"
"131.7","294.6","237265969719"
"136.4","303.3","237265977996"
"137.1","305.7","237265986221"
"134.4","308.0","237265994560"
"131.7","301.4","237266002742"
"129.9","291.6","237266011148"
"137.2","291.7","237266019818"
"138.8","295.1","237266027929"
"138.6","302.8","237266036187"
"147.9","301.5","237266044729"
"149.7","306.5","237266052991"
"155.9","309.3","237266061331"
"148.8","317.7","237266069805"
"152.3","321.0","237266077952"
"148.7","316.8","237266086332"
"130.4","305.2","237266094745"
"136.6","300.6","237266103002"
"164.8","318.1","237266111452"
"155.2","317.0","237266119429"
"148.2","309.7","237266128085"
"148.0","311.6","237266136352"
"154.0","314.0","237266144704"
"156.7","316.5","237266152880"
"160.5","313.3","237266161267"
"156.5","316.9","237266169684"
"158.5","312.4","237266178068"
"160.1","315.0","237266186318"
"159.6","310.0","237266194618"
"156.6","323.9","237266202924"
"165.1","322.4","237266211276"
"192.0","322.7","237266219540"
"260.3","316.3","237266227860"
"337.7","304.2","237266236233"
"406.3","289.9","237266244617"
"427.9","273.7","237266252925"
"437.0","272.8","237266261298"
"426.5","280.4","237266269732"
"426.7","284.0","237266277915"
"421.1","290.9","237266286202"
"414.4","285.4","237266294720"
"409.1","292.0","237266303102"
"404.1","283.2","237266311434"
"369.4","259.1","237266319749"
"400.7","284.7","237266328093"
"384.5","246.6","237266336250"
"408.3","264.7","237266344636"
"401.7","247.7","237266353095"
"397.9","244.0","237266361238"
"385.1","240.6","237266369575"
"327.0","209.1","237266386224"
"347.7","225.2","237266394695"
"330.0","199.6","237266411284"
"322.1","192.7","237266419574"
"309.0","177.6","237266436193"
"309.9","177.7","237266444575"
"325.1","190.2","237266461256"
"342.4","189.4","237266486235"
"339.8","203.0","237266502809"
"342.7","206.7","237266511180"
"330.8","199.8","237266527795"
"333.2","201.9","237266536172"
"334.6","198.4","237266544600"
"344.5","197.8","237266552961"
"342.8","195.8","237266561280"
"346.1","188.2","237266569628"
"338.0","201.4","237266577917"
"281.5","184.0","237266586178"
"280.4","183.1","237266594688"
"196.9","199.9","237266602833"
"80.9","184.4","237266611199"
"80.8","184.4","237266619746"
"88.7","185.3","237266628053"
"113.0","208.2","237266636365"
"103.1","205.4","237266652835"
"95.9","197.4","237266661303"
"83.3","169.5","237266678038"
"86.9","167.3","237266686433"
"95.6","183.5","237266694671"
"99.9","185.4","237266702873"
"91.1","168.2","237266711307"
"89.8","172.1","237266727734"
"101.3","189.7","237266736136"
"93.0","178.8","237266753023"
"85.0","183.9","237266777950"
"96.8","190.3","237266786164"
"126.2","197.5","237266802886"
"127.9","204.2","237266811411"
"115.8","201.5","237266827922"
"107.4","198.4","237266836285"
"114.2","197.3","237266852749"
"130.2","220.1","237266861273"
"110.6","207.8","237266877940"
"121.2","215.1","237266886119"
"94.1","197.4","237266911070"
"131.7","205.8","237266927716"
"131.7","205.8","237266936041"
"110.8","223.2","237266952737"
"110.8","223.2","237266961070"
"118.7","217.4","237266977922"
"118.7","217.4","237266986230"
"106.6","223.0","237267002901"
"106.6","223.0","237267011219"
"83.1","248.7","237267027871"
"84.3","251.8","237267036160"
"107.6","253.3","237267052918"
"105.2","245.3","237267061228"
"98.9","218.4","237267077948"
"97.6","227.6","237267086091"
"81.0","217.7","237267102836"
"90.5","225.5","237267111146"
"106.4","226.3","237267127859"
"98.4","201.7","237267136171"
"85.5","246.6","237267152738"
"92.0","239.3","237267161059"
"92.3","231.5","237267177815"
"102.4","231.8","237267185993"
"111.0","236.0","237267202772"
"100.6","230.9","237267210995"
"86.2","227.1","237267227862"
"85.3","234.5","237267236050"
"94.1","242.4","237267252934"
"95.6","242.4","237267261272"
"101.2","241.5","237267277818"
"95.4","236.0","237267286200"
"85.2","234.1","237267302852"
